timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime
2016-10-18T02:08:20.763+0000,242,HTTP Request,200,Thread Group 1-3,true,13512,4,4,192,1,0,566f08662084,0
2016-10-18T02:08:20.421+0000,581,HTTP Request,200,Thread Group 1-1,true,13398,4,4,542,1,0,566f08662084,0
2016-10-18T02:08:20.421+0000,448,HTTP Request,200,Thread Group 1-2,true,13525,4,4,401,1,0,566f08662084,0
2016-10-18T02:08:21.009+0000,210,HTTP Request,200,Thread Group 1-1,true,13453,5,5,171,1,0,566f08662084,0
2016-10-18T02:08:21.012+0000,279,HTTP Request,200,Thread Group 1-3,true,13456,4,4,229,1,0,566f08662084,0
2016-10-18T02:08:20.962+0000,348,HTTP Request,200,Thread Group 1-4,true,13472,3,3,171,1,0,566f08662084,0
2016-10-18T02:08:21.012+0000,298,HTTP Request,200,Thread Group 1-2,true,13525,3,3,238,1,0,566f08662084,0
2016-10-18T02:08:21.162+0000,287,HTTP Request,200,Thread Group 1-5,true,13424,3,3,265,1,0,566f08662084,0
2016-10-18T02:08:21.162+0000,138,HTTP Request,200,Thread Group 1-4,true,13469,3,3,116,1,0,566f08662084,0
2016-10-18T02:08:21.450+0000,156,HTTP Request,200,Thread Group 1-5,true,13456,3,3,108,1,0,566f08662084,0
2016-10-18T02:08:21.567+0000,262,HTTP Request,200,Thread Group 1-7,true,13448,3,3,154,1,0,566f08662084,0
2016-10-18T02:08:21.361+0000,502,HTTP Request,200,Thread Group 1-6,true,13462,3,3,259,1,0,566f08662084,0
2016-10-18T02:08:21.864+0000,824,HTTP Request,200,Thread Group 1-6,true,13497,5,5,824,1,0,566f08662084,0
2016-10-18T02:08:21.830+0000,867,HTTP Request,200,Thread Group 1-7,true,13506,4,4,285,1,0,566f08662084,0
2016-10-18T02:08:21.772+0000,1005,HTTP Request,200,Thread Group 1-8,true,13511,3,3,871,1,0,566f08662084,0
2016-10-18T02:08:22.778+0000,277,HTTP Request,200,Thread Group 1-8,true,13471,3,3,115,1,0,566f08662084,0
2016-10-18T02:08:22.175+0000,939,HTTP Request,200,Thread Group 1-10,true,13527,2,2,692,1,0,566f08662084,0
2016-10-18T02:08:21.976+0000,1175,HTTP Request,200,Thread Group 1-9,true,13545,2,2,890,1,0,566f08662084,0
2016-10-18T02:08:23.152+0000,227,HTTP Request,200,Thread Group 1-9,true,13486,2,2,218,1,0,566f08662084,0
2016-10-18T02:08:23.116+0000,264,HTTP Request,200,Thread Group 1-10,true,13417,1,1,139,1,0,566f08662084,0
